id,baslik,url,metin,kitap_adi,yayin_yili,donem,metin_uzunluk,kelime_sayisi
1,Bir Gün Anlarsın Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/bir-gun-anlarsin-siiri/,,,,Belirsiz,0,0
2,Aşk Okudum - Aşk Dokudum,https://www.antoloji.com/ask-okudum-ask-dokudum-siiri/,,,,Belirsiz,0,0
3,beni-unutma Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/beni-unutma-siiri/,,,,Belirsiz,0,0
4,İstanbul Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/istanbul-33-siiri/,,,,Belirsiz,0,0
5,Aşk Başlamadan Güzel,https://www.antoloji.com/ask-baslamadan-guzel-siiri/,,,,Belirsiz,0,0
6,Acılar Denizi Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/acilar-denizi-siiri/,,,,Belirsiz,0,0
7,Dağ Rüzgarı Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/dag-ruzgari-siiri/,,,,Belirsiz,0,0
8,Sevi Şiiri Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/sevi-siiri-siiri/,,,,Belirsiz,0,0
9,Ben Seni Sevdim Mi?,https://www.antoloji.com/ben-seni-sevdim-mi-siiri/,,,,Belirsiz,0,0
10,Mustafa Kemal'i Düşünüyorum,https://www.antoloji.com/mustafa-kemal-i-dusunuyorum-siiri/,,,,Belirsiz,0,0
11,Milyon Kere Ayten Şiiri - Ümit Yaşar Oğu ...,https://www.antoloji.com/milyon-kere-ayten-siiri/,,,,Belirsiz,0,0
12,Unutamiyorum Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/unutamiyorum-siiri/,,,,Belirsiz,0,0
13,Unutma ki Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/unutma-ki-siiri/,,,,Belirsiz,0,0
14,Aldanış Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/aldanis-siiri/,,,,Belirsiz,0,0
15,Her Gün Seninle Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/her-gun-seninle-siiri/,,,,Belirsiz,0,0
16,2 Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/2-15-siiri/,,,,Belirsiz,0,0
17,Bir Gece Ansızın Gelebilirim,https://www.antoloji.com/bir-gece-ansizin-gelebilirim-siiri/,,,,Belirsiz,0,0
18,Dost Bildiklerim Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/dost-bildiklerim-siiri/,,,,Belirsiz,0,0
19,Ayrılanlar İçin Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/ayrilanlar-icin-siiri/,,,,Belirsiz,0,0
20,Bekleyenler İçin Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/bekleyenler-icin-siiri/,,,,Belirsiz,0,0
21,İmkansız Aşk Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/imkansiz-ask-130-siiri/,,,,Belirsiz,0,0
22,En Eski Yalnızlığımdır Aşk Benim,https://www.antoloji.com/en-eski-yalnizligimdir-ask-benim-siiri/,,,,Belirsiz,0,0
23,Kum Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/kum-siiri/,,,,Belirsiz,0,0
24,Dost Koşması Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/dost-kosmasi-siiri/,,,,Belirsiz,0,0
25,Affet Beni Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/affet-beni-3-siiri/,,,,Belirsiz,0,0
26,Aşkmıydı O? Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/askmiydi-o-siiri/,,,,Belirsiz,0,0
27,Beşinci Mektup Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/besinci-mektup-siiri/,,,,Belirsiz,0,0
28,Aşk Çizgisi Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/ask-cizgisi-siiri/,,,,Belirsiz,0,0
29,Altıncı Mektup Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/altinci-mektup-siiri/,,,,Belirsiz,0,0
30,Yağmur Altında Öpüşmek,https://www.antoloji.com/yagmur-altinda-opusmek-siiri/,,,,Belirsiz,0,0
31,Türk İnsanlığı Şiiri - Önder Karaçay,https://www.antoloji.com/turk-insanligi-siiri/,,E-Kitap,,Belirsiz,0,0
32,Yaşam İnsana Ektiğini Biçtirir,https://www.antoloji.com/yasam-insana-ektigini-bictirir-siiri/,,E-Kitap,,Belirsiz,0,0
33,Kutlu olsun Şiiri - Ahmet Arslan Hadimi,https://www.antoloji.com/kutlu-olsun-79-siiri/,,,,Belirsiz,0,0
34,Sensiz Şehirler Şiiri - Kudret Kobal,https://www.antoloji.com/sensiz-sehir-7-siiri/,,E-Kitap,,Belirsiz,0,0
35,Davet*,https://www.antoloji.com/davet-300-siiri/,,,,Belirsiz,0,0
36,Karanlığın Gözleri Şiiri - Ümit Yaşar Oğ ...,https://www.antoloji.com/karanligin-gozleri-siiri/,,,,Belirsiz,0,0
37,Aşk Fısıltıları Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/ask-fisiltilari-siiri/,,,,Belirsiz,0,0
38,Beni Kör Kuyularda Şiiri - Ümit Yaşar Oğ ...,https://www.antoloji.com/beni-kor-kuyularda-siiri/,,,,Belirsiz,0,0
39,Köpek Yalnızlığım Şiiri - Ümit Yaşar Oğu ...,https://www.antoloji.com/kopek-yalnizligim-siiri/,,,,Belirsiz,0,0
40,Sevgi Çıkmazı Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/sevgi-cikmazi-siiri/,,,,Belirsiz,0,0
41,Bana Bir Şarkı Söyle,https://www.antoloji.com/bana-bir-sarki-soyle-siiri/,,,,Belirsiz,0,0
