id,baslik,url,metin,sair,kitap_adi,yayin_yili,donem,kelime_sayisi
1,Bir Gün Anlarsın,https://www.antoloji.com/bir-gun-anlarsin-siiri/,"Uykuların kaçar geceleri

Bir türlü sabah olmayı bilmez

Dikilir gözlerin tavanda bir noktaya

Deli eden bir uğultudur başlar kulaklarında

Ne çarşaf halden anlar, ne yastık

Girmez pencerelerden beklediğin aydınlık

Kapanır yatağına çaresizliğine ağlarsın

Onun unutamadığın hayali

Sigaradan derin bir nefes çekmişcesine dolar içine

Sevmek ne imiş bir gün anlarsın

Bir gün anlarsın aslında her şeyin boş olduğunu

Şerefin, faziletin, iyiliğin, güzelliğin

Gün gelir de sesini bir kerecik duymak için

Vurursun başını soğuk taş duvarlara

Büyür gitgide incinmişliğin, kırılmışlığın

Duyarsın

Ta derinden acısını çaresiz kalmışlığın

Sevmek ne imiş bir gün anlarsın

Bir gün anlarsın ne işe yaradığını ellerinin

Niçin yaratıldığını

Bu iğrenç dünyaya neden geldiğini

Uzun uzun seyredersin de aynalarda güzelliğini

Boşuna geçip giden yıllarına yanarsın

Dolar gözlerin için burkulur

Sevmek ne imiş bir gün anlarsın

Bir gün anlarsın tadını sevilen dudakların

Sevilen gözlerin erişilmezliğini

O hiç beklenmeyen saat geldi mi

Düşer saçların önüne ama bembeyaz 

Uzanır gökyüzüne ellerin

Ama çaresiz

Ama yorgun

Ama bitkin

Bir zaman geçmiş günlerin uykusuna dalarsın

Sonra dizilir birbiri ardınca gerçekler acı

Sevmek ne imiş bir gün anlarsın

Bir gün anlarsın hayal kurmayı

Beklemeyi

Ümit etmeyi

Bir kirli gömlek gibi çıkarıp atasın gelir

Bütün vücudunu saran o korkunç geceyi

Lanet edersin yaşadığına 

Maziden ne kalmışsa yırtar atarsın

O zaman bir çiçek büyür kabrimde kendiliğinden
Seni sevdiğimi işte o  gün anlarsın

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 29.8.2000 06:38:00",,Bir Gün Anlarsın,1965.0,Olgunluk Dönemi (1963–1972),222
2,Bir Gün Anlarsın,https://www.antoloji.com/bir-gun-anlarsin-siiri/?siralama=p,"Uykuların kaçar geceleri

Bir türlü sabah olmayı bilmez

Dikilir gözlerin tavanda bir noktaya

Deli eden bir uğultudur başlar kulaklarında

Ne çarşaf halden anlar, ne yastık

Girmez pencerelerden beklediğin aydınlık

Kapanır yatağına çaresizliğine ağlarsın

Onun unutamadığın hayali

Sigaradan derin bir nefes çekmişcesine dolar içine

Sevmek ne imiş bir gün anlarsın

Bir gün anlarsın aslında her şeyin boş olduğunu

Şerefin, faziletin, iyiliğin, güzelliğin

Gün gelir de sesini bir kerecik duymak için

Vurursun başını soğuk taş duvarlara

Büyür gitgide incinmişliğin, kırılmışlığın

Duyarsın

Ta derinden acısını çaresiz kalmışlığın

Sevmek ne imiş bir gün anlarsın

Bir gün anlarsın ne işe yaradığını ellerinin

Niçin yaratıldığını

Bu iğrenç dünyaya neden geldiğini

Uzun uzun seyredersin de aynalarda güzelliğini

Boşuna geçip giden yıllarına yanarsın

Dolar gözlerin için burkulur

Sevmek ne imiş bir gün anlarsın

Bir gün anlarsın tadını sevilen dudakların

Sevilen gözlerin erişilmezliğini

O hiç beklenmeyen saat geldi mi

Düşer saçların önüne ama bembeyaz 

Uzanır gökyüzüne ellerin

Ama çaresiz

Ama yorgun

Ama bitkin

Bir zaman geçmiş günlerin uykusuna dalarsın

Sonra dizilir birbiri ardınca gerçekler acı

Sevmek ne imiş bir gün anlarsın

Bir gün anlarsın hayal kurmayı

Beklemeyi

Ümit etmeyi

Bir kirli gömlek gibi çıkarıp atasın gelir

Bütün vücudunu saran o korkunç geceyi

Lanet edersin yaşadığına 

Maziden ne kalmışsa yırtar atarsın

O zaman bir çiçek büyür kabrimde kendiliğinden
Seni sevdiğimi işte o  gün anlarsın

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 29.8.2000 06:38:00",,Bir Gün Anlarsın,1965.0,Olgunluk Dönemi (1963–1972),222
3,Aşk Okudum - Aşk Dokudum,https://www.antoloji.com/ask-okudum-ask-dokudum-siiri/,"Ben bu gönül tezgahında

Aşk dokudum, aşk okudum

Erenlerin dergahında

Aşk okudum, aşk dokudum
Her güçlüğü bile bile

Göznuruyla, sabır ile

Yumak yumak, çile çile

Aşk dokudum, aşk okudum
Bir ömür yana yakıla

Yazdığım sığmaz akla

Acımadım kırkdört yıla

Aşk okudum,aşk dokudum
Sevgi insanlığın özü

Odur aydınlatan bizi

Hak yolunda oldum terzi

Aşk dokudum, aşk okudum.
Günahından, sevabından

İçtim aşkın şarabından

Uluların kitabından

Aşk okudum, aşk dokudum
Aşk için şan da, şeref de

Okudum saplı bu hedefte

Yıllar yılı bir gergefte

Aşk dokudum, aşk okudum
Ümit Yaşar aşkla bende

Kötülük olmaz sevende

Bu can kaldıkça bu tende

Aşk okurum, aşk dokurum.

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 14.10.2000 11:40:00",,,,Belirsiz,109
4,Aşk Okudum - Aşk Dokudum,https://www.antoloji.com/ask-okudum-ask-dokudum-siiri/?siralama=p,"Ben bu gönül tezgahında

Aşk dokudum, aşk okudum

Erenlerin dergahında

Aşk okudum, aşk dokudum
Her güçlüğü bile bile

Göznuruyla, sabır ile

Yumak yumak, çile çile

Aşk dokudum, aşk okudum
Bir ömür yana yakıla

Yazdığım sığmaz akla

Acımadım kırkdört yıla

Aşk okudum,aşk dokudum
Sevgi insanlığın özü

Odur aydınlatan bizi

Hak yolunda oldum terzi

Aşk dokudum, aşk okudum.
Günahından, sevabından

İçtim aşkın şarabından

Uluların kitabından

Aşk okudum, aşk dokudum
Aşk için şan da, şeref de

Okudum saplı bu hedefte

Yıllar yılı bir gergefte

Aşk dokudum, aşk okudum
Ümit Yaşar aşkla bende

Kötülük olmaz sevende

Bu can kaldıkça bu tende

Aşk okurum, aşk dokurum.

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 14.10.2000 11:40:00",,,,Belirsiz,109
5,beni-unutma,https://www.antoloji.com/beni-unutma-siiri/,"Bir gün gelir de unuturmuş insan

En sevdiği hatıraları bile

Bari sen her gece yorgun sesiyle

Saat on ikiyi vurduğu zaman

Beni unutma

Çünkü ben her gece o saatlerde

Seni yaşar ve seni düşünürüm

Hayal içinde perişan yürürüm

Sen de karanlığın sustuğu yerde

Beni unutma

O saatlerde serpilir gülüşün

Bir avuç su gibi içime, ey yar

Senin de başında o çılgın rüzgar

Deli esiverirse bir gün

Beni unutma

Ben ayağımda çarık, elimde asa

Senin için su yollara düşmüşüm

Senelerce sonra sana dönüşüm

Bir mahşer gününe de rastlasa

Beni unutma

Hala duruyorsa yeşil elbisen

Onu  bir gün benim için giy

Saksıdaki pembe karanfilde çiğ

Ve bahçende yorgun bir kuş görürsen

Beni unutma

Büyük acılara tutuştuğum gün

Çok uzaklarda da olsan yine gel

Bu ölürcesine sevdiğine gel

Ne olur Tanrıya kavuştuğum gün

Beni unutma

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 17:11:00",,,,Belirsiz,140
6,beni-unutma,https://www.antoloji.com/beni-unutma-siiri/?siralama=p,"Bir gün gelir de unuturmuş insan

En sevdiği hatıraları bile

Bari sen her gece yorgun sesiyle

Saat on ikiyi vurduğu zaman

Beni unutma

Çünkü ben her gece o saatlerde

Seni yaşar ve seni düşünürüm

Hayal içinde perişan yürürüm

Sen de karanlığın sustuğu yerde

Beni unutma

O saatlerde serpilir gülüşün

Bir avuç su gibi içime, ey yar

Senin de başında o çılgın rüzgar

Deli esiverirse bir gün

Beni unutma

Ben ayağımda çarık, elimde asa

Senin için su yollara düşmüşüm

Senelerce sonra sana dönüşüm

Bir mahşer gününe de rastlasa

Beni unutma

Hala duruyorsa yeşil elbisen

Onu  bir gün benim için giy

Saksıdaki pembe karanfilde çiğ

Ve bahçende yorgun bir kuş görürsen

Beni unutma

Büyük acılara tutuştuğum gün

Çok uzaklarda da olsan yine gel

Bu ölürcesine sevdiğine gel

Ne olur Tanrıya kavuştuğum gün

Beni unutma

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 17:11:00",,,,Belirsiz,140
7,İstanbul,https://www.antoloji.com/istanbul-33-siiri/,"Evin içinde bir oda, odada İstanbul

Odanın içinde bir ayna, aynada İstanbul
Adam sigarasını yaktı, bir İstanbul dumanı

Kadın çantasını açtı, çantada İstanbul
Çocuk bir olta atmıştı denize, gördüm

Çekmeğe başladı, oltada İstanbul
Bu ne biçim su, bu nasıl şehir

Şişede İstanbul, masada İstanbul
Yürüsek yürüyor, dursak duruyor, şaşırdık

Bir yanda o, bir yanda ben, ortada İstanbul
İnsan bir kere sevmeye görsün, anladım

Nereye gidersen git, orada İstanbul.

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 9.9.2001 10:02:00",,Üstüme Varma İstanbul,1961.0,Erken Dönem (1947–1962),76
8,İstanbul,https://www.antoloji.com/istanbul-33-siiri/?siralama=p,"Evin içinde bir oda, odada İstanbul

Odanın içinde bir ayna, aynada İstanbul
Adam sigarasını yaktı, bir İstanbul dumanı

Kadın çantasını açtı, çantada İstanbul
Çocuk bir olta atmıştı denize, gördüm

Çekmeğe başladı, oltada İstanbul
Bu ne biçim su, bu nasıl şehir

Şişede İstanbul, masada İstanbul
Yürüsek yürüyor, dursak duruyor, şaşırdık

Bir yanda o, bir yanda ben, ortada İstanbul
İnsan bir kere sevmeye görsün, anladım

Nereye gidersen git, orada İstanbul.

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 9.9.2001 10:02:00",,Üstüme Varma İstanbul,1961.0,Erken Dönem (1947–1962),76
9,Aşk Başlamadan Güzel,https://www.antoloji.com/ask-baslamadan-guzel-siiri/,"Aşk başlamadan güzel,

Kalplerde heyecan

Bakışlarda korku olduğu zaman güzel...

Birbirimize sezdirmemek için çırpınış,

Başkaları görmesin diye çabalayış,

Gözlerim gözlerinin mavisine değdiği zaman...

Aşk başlamadan güzel....

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 12.4.2001 23:33:00",,,,Belirsiz,34
10,Aşk Başlamadan Güzel,https://www.antoloji.com/ask-baslamadan-guzel-siiri/?siralama=p,"Aşk başlamadan güzel,

Kalplerde heyecan

Bakışlarda korku olduğu zaman güzel...

Birbirimize sezdirmemek için çırpınış,

Başkaları görmesin diye çabalayış,

Gözlerim gözlerinin mavisine değdiği zaman...

Aşk başlamadan güzel....

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 12.4.2001 23:33:00",,,,Belirsiz,34
